cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,82667",2010-01-12 16:00:00.0,Intermediário
"2,82442",2010-01-12 16:30:00.0,Fechamento Interbancário
"2,81779",2010-01-12 17:37:00.0,Fechamento
"2,84253",2010-01-13 09:26:00.0,Abertura
"2,83605",2010-01-13 09:30:00.0,Intermediário
"2,834",2010-01-13 10:00:00.0,Intermediário
"2,83385",2010-01-13 10:30:00.0,Intermediário
"2,83208",2010-01-13 11:00:00.0,Intermediário
"2,83616",2010-01-13 11:30:00.0,Intermediário
"2,83471",2010-01-13 12:00:00.0,Intermediário
"2,83476",2010-01-13 12:30:00.0,Intermediário
"2,83958",2010-01-13 13:00:00.0,Intermediário
"2,83576",2010-01-13 13:30:00.0,Intermediário
"2,84314",2010-01-13 14:00:00.0,Intermediário
"2,85191",2010-01-13 14:30:00.0,Intermediário
"2,85185",2010-01-13 15:00:00.0,Intermediário
"2,85453",2010-01-13 15:30:00.0,Intermediário
"2,8637",2010-01-13 16:00:00.0,Intermediário
"2,86405",2010-01-13 16:30:00.0,Fechamento Interbancário
"2,83834",2010-01-13 17:34:00.0,Fechamento
"2,87548",2010-01-14 09:26:00.0,Abertura
"2,86777",2010-01-14 09:30:00.0,Intermediário
"2,86847",2010-01-14 10:00:00.0,Intermediário
"2,87692",2010-01-14 10:30:00.0,Intermediário
"2,87388",2010-01-14 11:00:00.0,Intermediário
"2,87317",2010-01-14 11:30:00.0,Intermediário
"2,8766",2010-01-14 12:00:00.0,Intermediário
"2,87872",2010-01-14 12:30:00.0,Intermediário
"2,87768",2010-01-14 13:00:00.0,Intermediário
"2,88015",2010-01-14 13:30:00.0,Intermediário
"2,88035",2010-01-14 14:00:00.0,Intermediário
"2,89199",2010-01-14 14:30:00.0,Intermediário
"2,88745",2010-01-14 15:00:00.0,Intermediário
"2,88709",2010-01-14 15:30:00.0,Intermediário
"2,88073",2010-01-14 16:00:00.0,Intermediário
"2,88348",2010-01-14 16:30:00.0,Fechamento Interbancário
"2,88315",2010-01-14 17:42:00.0,Fechamento
"2,89103",2010-01-15 09:23:00.0,Abertura
"2,88466",2010-01-15 09:30:00.0,Intermediário
"2,88179",2010-01-15 10:00:00.0,Intermediário
"2,88115",2010-01-15 10:30:00.0,Intermediário
"2,88609",2010-01-15 11:00:00.0,Intermediário
"2,8885",2010-01-15 11:30:00.0,Intermediário
"2,88232",2010-01-15 12:00:00.0,Intermediário
"2,8762",2010-01-15 12:30:00.0,Intermediário
"2,87421",2010-01-15 13:00:00.0,Intermediário
"2,88011",2010-01-15 13:30:00.0,Intermediário
"2,87516",2010-01-15 14:00:00.0,Intermediário
"2,86713",2010-01-15 14:30:00.0,Intermediário
"2,87252",2010-01-15 15:00:00.0,Intermediário
"2,87888",2010-01-15 15:30:00.0,Intermediário
"2,87938",2010-01-15 16:00:00.0,Intermediário
"2,87897",2010-01-15 16:30:00.0,Fechamento Interbancário
"2,87751",2010-01-15 17:40:00.0,Fechamento
"2,90246",2010-01-18 09:26:00.0,Abertura
"2,89543",2010-01-18 09:30:00.0,Intermediário
"2,89364",2010-01-18 10:00:00.0,Intermediário
"2,89232",2010-01-18 10:30:00.0,Intermediário
"2,89655",2010-01-18 11:00:00.0,Intermediário
"2,89861",2010-01-18 11:30:00.0,Intermediário
"2,89061",2010-01-18 12:00:00.0,Intermediário
"2,89128",2010-01-18 12:30:00.0,Intermediário
"2,88215",2010-01-18 13:00:00.0,Intermediário
"2,88441",2010-01-18 13:30:00.0,Intermediário
"2,88467",2010-01-18 14:00:00.0,Intermediário
"2,88829",2010-01-18 14:30:00.0,Intermediário
"2,88562",2010-01-18 15:00:00.0,Intermediário
"2,89072",2010-01-18 15:30:00.0,Intermediário
"2,88952",2010-01-18 16:00:00.0,Intermediário
"2,88689",2010-01-18 16:30:00.0,Fechamento Interbancário
