dia,cotacao
2017-10-09,3.177
2017-10-10,3.1688
2017-10-11,3.1639
2017-10-13,3.1572
2017-10-16,3.1607
2017-10-17,3.1769
2017-10-18,3.1673
2017-10-19,3.1732
2017-10-20,3.1833
2017-10-23,3.2003
2017-10-24,3.247
2017-10-25,3.2387
2017-10-26,3.2444
2017-10-27,3.2801
2017-10-30,3.2547
2017-10-31,3.2769
2017-11-01,3.2736
2017-11-03,3.292
2017-11-06,3.2851
2017-11-07,3.2733
2017-11-08,3.2509
2017-11-09,3.2515
2017-11-10,3.2661
2017-11-13,3.2873
2017-11-14,3.2834
2017-11-16,3.2808
2017-11-17,3.2788
2017-11-20,3.2623
2017-11-21,3.2591
2017-11-22,3.2561
2017-11-23,3.2371
2017-11-24,3.23
2017-11-27,3.2218
2017-11-28,3.2232
2017-11-29,3.2136
2017-11-30,3.2616
2017-12-01,3.2636
2017-12-04,3.2506
2017-12-05,3.2322
2017-12-06,3.2354
2017-12-07,3.2892
2017-12-08,3.2811
2017-12-11,3.2845
2017-12-12,3.3149
2017-12-13,3.3036
2017-12-14,3.3332
2017-12-15,3.3182
2017-12-18,3.2881
2017-12-19,3.2883
2017-12-20,3.2909
2017-12-21,3.3045
2017-12-22,3.3209
2017-12-26,3.32
2017-12-27,3.3031
2017-12-28,3.3080000000000003
2017-12-29,3.3080000000000003
